"","point_estimate_rub","LB_rub","UB_rub","UB","LB","point_estimate"
"6328",1.05650852074184,-0.217251384051428,2.3302684255351,1.86156532749537,0.591375377765663,1.2648788825278
"6329",2.14313002166513,-0.221876753097666,4.50813679642792,3.44323542436181,2.05245645321975,2.76062303475951
"6330",1.94487507294055,0.526506669960493,3.3632434759206,3.04316668807212,1.49865297773112,2.30312987820307
"6331",2.21565468294564,1.07990674002145,3.35140262586984,2.64706134041052,1.9061331332603,2.2600273082063
"6332",1.50850496696394,0.294972389874349,2.72203754405353,2.29380976351845,1.38755243938484,1.871545609859
"6333",1.18453375138991,-0.289470754157041,2.65853825693685,2.2840631656945,0.810991833307451,1.5502461808462
"6334",2.13507407887082,1.1164529756676,3.15369518207404,2.85504639327488,1.70395783124355,2.30736690518669
"6335",1.54474600430685,0.509222199300972,2.58026980931273,2.20789605455583,1.36016361918161,1.81261059534443
"6336",2.36170136356016,0.764979193518231,3.95842353360209,2.83484650798059,1.95374269982987,2.35841562385329
"6337",1.86569682297198,1.12556222463299,2.60583142131098,2.23409908807312,1.4629135953934,1.85032640105305
"6338",1.12037591383403,-0.161634984830302,2.40238681249837,2.20901593249344,0.897948349742072,1.65913322134821
"6339",1.94652312223006,0.768591899719375,3.12445434474074,2.5643954978714,1.51779699877492,2.12936046361556
"6340",1.79131888033166,0.373830955807346,3.20880680485597,2.88892532453194,1.70179000782122,2.27260831822296
"6341",1.68441119861202,0.374478526496283,2.99434387072776,2.77242954255065,1.46150824600296,2.04212613091566
"6342",1.8828901654883,0.72023034829994,3.04554998267667,2.72317398948327,1.38982661493837,2.08106964505215
"6343",1.69078296832041,0.632583469667369,2.74898246697346,2.39410102145125,1.40058599650836,1.92829732435863
"6344",2.07820421068457,1.16546905163799,2.99093936973116,2.30714308623317,1.51178093690719,1.90852796635283
"6345",-0.704578225993013,-2.42246493981014,1.01330848782412,1.79123032148935,-1.09677291372513,0.201358032599072
"6346",0.987136148328181,-1.13806836941512,3.11234066607149,2.6075030476346,0.906763077320014,1.63813725137924
"6347",2.0036402608623,0.928490410547439,3.07879011117715,2.60837104374543,1.70391808077571,2.15085927684629
"6348",1.17438003257653,-0.329896921644062,2.67865698679712,2.71274861995594,0.570533552520498,1.78619650119014
"6349",1.54968376302448,0.451476497755587,2.64789102829337,2.05367268053107,1.06977871315569,1.55061992541899
"6350",1.94622445560502,0.917401599277098,2.97504731193295,2.44039149378312,1.53060970282593,1.97272586860366
"6351",1.64211502572045,-0.104308325419687,3.38853837686059,2.85932274752369,0.412050777815634,1.70337982770371
"6352",1.63909935457152,0.932169969297007,2.34602873984604,1.98400448861894,1.5237771377683,1.77572717003296
"6353",1.61190371712154,0.515816594986745,2.70799083925634,2.20514209331537,1.41595005245332,1.85252048945957
"6354",1.35166313233407,0.591733121794228,2.11159314287391,2.42448823569663,1.12939931865219,1.76046753499632
"6355",1.67394652954335,0.38040075509486,2.96749230399183,2.64786021820675,1.3855065913264,2.03485887001716
"6356",1.84673544202843,0.987969454221408,2.70550142983546,2.43430897709985,1.57813397354209,2.05278144891105
